"Local Time";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2018 21:00";"7.4";"765.1";"768.2";"0.8";"67";"Wind blowing from the north-east";"5";"";"8";"no clouds";" ";"";"";"";"10.0";"";"";"";"";"";"10.0";"1.6";"No precipitation";"12";"";"";"";"";
"31.12.2018 18:00";"8.0";"764.3";"767.4";"0.5";"56";"Wind blowing from the north-east";"5";"";"8";"60%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"-0.4";"";"";"";"";"";"";
"31.12.2018 15:00";"9.3";"763.8";"766.9";"-1.3";"62";"Wind blowing from the east-southeast";"4";"";"7";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"2.4";"No precipitation";"6";"";"";"";"";
"31.12.2018 12:00";"7.3";"765.1";"768.1";"0.1";"73";"Wind blowing from the east-southeast";"3";"";"5";"70 � 80%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 � 80%.";"2500 or more, or no clouds.";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"8.0";"2.7";"";"";"";"";"";"";
"31.12.2018 09:00";"6.0";"765.0";"768.1";"0.6";"74";"Wind blowing from the east";"2";"";"";"70 � 80%.";" ";"";"";"4.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 � 80%.";"2500 or more, or no clouds.";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"1.7";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"3.0";"";"";
"31.12.2018 06:00";"4.2";"764.4";"767.5";"-0.2";"88";"Wind blowing from the north";"2";"";"6";"70 � 80%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 � 80%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"2.4";"";"";"";"";"";"";
"31.12.2018 03:00";"6.3";"764.6";"767.7";"-0.5";"76";"Wind blowing from the east-northeast";"3";"";"6";"70 � 80%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 � 80%.";"2500 or more, or no clouds.";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"2.3";"No precipitation";"6";"";"";"";"";
"31.12.2018 00:00";"6.4";"765.1";"768.2";"-0.4";"75";"Wind blowing from the east";"2";"";"6";"70 � 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"1000-1500";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"2.2";"";"";"";"";"";"";
"30.12.2018 21:00";"6.3";"765.5";"768.6";"0.4";"79";"Wind blowing from the east-northeast";"3";"";"8";"50%.";" ";"";"";"";"7.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"2.8";"0.4";"12";"";"";"";"";
"30.12.2018 18:00";"6.6";"765.1";"768.2";"0.2";"77";"Wind blowing from the south-east";"2";"";"5";"90  or more, but not 100%";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"90  or more, but not 100%";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"2.9";"";"";"";"";"";"";
"30.12.2018 15:00";"6.6";"764.9";"768.0";"-0.6";"80";"Wind blowing from the west-northwest";"3";"";"6";"90  or more, but not 100%";"Clouds generally forming or developing. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"90  or more, but not 100%";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"3.4";"0.4";"6";"";"";"";"";
"30.12.2018 12:00";"6.8";"765.5";"768.6";"0.1";"80";"Wind blowing from the north-northwest";"4";"";"6";"70 � 80%.";"Clouds generally forming or developing. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"70 � 80%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"3.6";"";"";"";"";"";"";
"30.12.2018 09:00";"5.8";"765.4";"768.4";"0.8";"84";"Wind blowing from the north-west";"4";"";"";"90  or more, but not 100%";" ";"";"";"5.1";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"90  or more, but not 100%";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"3.2";"0.6";"12";"Surface of ground wet (standing water in small or large pools on surface).";"3.0";"";"";
"30.12.2018 06:00";"5.4";"764.6";"767.7";"-0.2";"85";"Wind blowing from the west";"2";"";"5";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"3.0";"";"";"";"";"";"";
"30.12.2018 03:00";"6.2";"764.8";"767.8";"0.3";"79";"Wind blowing from the north";"4";"";"12";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"90  or more, but not 100%";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"2.7";"0.6";"6";"";"";"";"";
"30.12.2018 00:00";"5.6";"764.5";"767.5";"0.9";"87";"Wind blowing from the north";"6";"";"12";"70 � 80%.";"Rain (not freezing) not falling as shower(s). ";"Rain.";"Rain.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 � 80%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"3.6";"";"";"";"";"";"";
"29.12.2018 21:00";"6.3";"763.6";"766.7";"1.1";"88";"Wind blowing from the north-west";"5";"";"7";"90  or more, but not 100%";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Rain.";"";"7.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"8.0";"4.4";"2.0";"12";"";"";"";"";
"29.12.2018 18:00";"6.6";"762.5";"765.6";"1.0";"89";"Wind blowing from the west-northwest";"3";"";"5";"90  or more, but not 100%";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Rain.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"90  or more, but not 100%";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"7.0";"4.9";"";"";"";"";"";"";
"29.12.2018 15:00";"7.2";"761.5";"764.6";"-0.3";"85";"Wind blowing from the west-northwest";"3";"";"9";"90  or more, but not 100%";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"90  or more, but not 100%";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"4.9";"0.2";"6";"";"";"";"";
"29.12.2018 12:00";"6.7";"761.8";"764.8";"0.0";"79";"Wind blowing from the south-southwest";"6";"";"9";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"300-600";"";"";"10.0";"3.2";"";"";"";"";"";"";
"29.12.2018 09:00";"7.3";"761.8";"764.9";"0.3";"67";"Wind blowing from the south-southwest";"5";"";"";"70 � 80%.";" ";"";"";"6.4";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"1000-1500";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"1.5";"No precipitation";"12";"Surface of ground moist.";"3.0";"";"";
"29.12.2018 06:00";"6.8";"761.5";"764.5";"-0.7";"66";"Wind blowing from the south-southwest";"6";"";"8";"70 � 80%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1000-1500";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"0.9";"";"";"";"";"";"";
"29.12.2018 03:00";"7.5";"762.2";"765.3";"-0.6";"67";"Wind blowing from the south-southwest";"5";"";"7";"70 � 80%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 � 80%.";"2500 or more, or no clouds.";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"1.7";"No precipitation";"6";"";"";"";"";
"29.12.2018 00:00";"6.8";"762.8";"765.9";"-0.7";"74";"Wind blowing from the south-southwest";"4";"";"5";"60%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"2.4";"";"";"";"";"";"";
"28.12.2018 21:00";"7.0";"763.5";"766.6";"-0.4";"68";"Wind blowing from the south-southwest";"3";"";"8";"60%.";" ";"";"";"";"9.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"1.4";"No precipitation";"12";"";"";"";"";
"28.12.2018 18:00";"6.8";"763.9";"767.0";"-0.2";"78";"Wind blowing from the south-southwest";"3";"";"8";"20�30%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20�30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"3.1";"";"";"";"";"";"";
"28.12.2018 15:00";"8.2";"764.1";"767.2";"-1.3";"73";"Wind blowing from the south-southwest";"4";"";"8";"40%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"3.5";"No precipitation";"6";"";"";"";"";
"28.12.2018 12:00";"8.4";"765.4";"768.5";"-0.5";"63";"Wind blowing from the south-southwest";"2";"";"4";"20�30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20�30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"1.8";"";"";"";"";"";"";
"28.12.2018 09:00";"3.8";"765.9";"769.0";"0.4";"79";"Wind blowing from the north-northwest";"3";"";"";"no clouds";" ";"";"";"1.4";"";"";"";"";"";"";"10.0";"0.5";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"-1.0";"";"";
"28.12.2018 06:00";"2.0";"765.5";"768.6";"-0.5";"84";"Wind blowing from the north-northwest";"3";"";"4";"20�30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20�30%.";"2000-2500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"-0.5";"";"";"";"";"";"";
"28.12.2018 03:00";"5.1";"766.0";"769.1";"-0.4";"75";"Wind blowing from the north-northwest";"3";"";"6";"70 � 80%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 � 80%.";"2000-2500";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"0.9";"No precipitation";"6";"";"";"";"";
"28.12.2018 00:00";"5.2";"766.4";"769.5";"0.3";"75";"Wind blowing from the north-northwest";"4";"";"5";"60%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20�30%.";"1000-1500";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"1.0";"";"";"";"";"";"";
"27.12.2018 21:00";"6.1";"766.1";"769.2";"0.7";"72";"Wind blowing from the north";"3";"";"9";"60%.";" ";"";"";"";"7.4";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20�30%.";"1000-1500";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"1.3";"No precipitation";"12";"";"";"";"";
"27.12.2018 18:00";"6.8";"765.4";"768.4";"0.8";"67";"Wind blowing from the north";"5";"";"9";"70 � 80%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"1000-1500";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"1.1";"";"";"";"";"";"";
"27.12.2018 15:00";"6.5";"764.6";"767.7";"-0.5";"66";"Wind blowing from the north-northwest";"5";"";"9";"70 � 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"0.5";"No precipitation";"6";"";"";"";"";
"27.12.2018 12:00";"5.3";"765.1";"768.2";"0.2";"58";"Wind blowing from the north-west";"3";"";"5";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"-2.5";"";"";"";"";"";"";
"27.12.2018 09:00";"4.1";"764.9";"768.0";"0.8";"50";"Wind blowing from the west";"2";"";"";"90  or more, but not 100%";" ";"";"";"-0.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"-5.6";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"-4.0";"";"";
"27.12.2018 06:00";"2.1";"764.1";"767.2";"-0.5";"73";"Wind blowing from the north-west";"1";"";"3";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"-2.3";"";"";"";"";"";"";
"27.12.2018 03:00";"1.4";"764.6";"767.7";"-0.2";"67";"Wind blowing from the north-northwest";"3";"";"5";"10%  or less, but not 0";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"-4.1";"No precipitation";"6";"";"";"";"";
"27.12.2018 00:00";"2.1";"764.8";"767.9";"-0.6";"65";"Wind blowing from the north-west";"2";"";"5";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"-3.9";"";"";"";"";"";"";
"26.12.2018 21:00";"2.1";"765.4";"768.5";"-0.1";"63";"Wind blowing from the north-northwest";"3";"";"9";"no clouds";" ";"";"";"";"6.6";"";"";"";"";"";"10.0";"-4.2";"No precipitation";"12";"";"";"";"";
"26.12.2018 18:00";"3.9";"765.5";"768.6";"0.1";"58";"Wind blowing from the north";"4";"";"9";"20�30%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20�30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"-3.8";"";"";"";"";"";"";
