Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative Humidity  [2 m above gnd];Total Precipitation (high resolution)  [sfc];Total Precipitation (low resolution)  [sfc];Snowfall Amount (high resolution)  [sfc];Snowfall Amount (low resolution)  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd]
2018;01;01;00;00;10.50;68.00;0.00;0.00;0.00;0.00;28.67;241.50
2018;01;01;01;00;9.79;74.00;0.20;0.00;0.00;0.00;26.81;247.91
2018;01;01;02;00;8.97;75.00;0.20;0.50;0.00;0.00;27.35;253.95
2018;01;01;03;00;8.69;75.00;0.00;0.40;0.00;0.00;32.27;259.07
2018;01;01;04;00;7.96;74.00;0.00;0.00;0.00;0.00;30.22;257.62
2018;01;01;05;00;7.36;74.00;0.00;0.00;0.00;0.00;28.64;255.44
2018;01;01;06;00;6.81;74.00;0.00;0.00;0.00;0.00;27.10;253.01
2018;01;01;07;00;6.15;75.00;0.00;0.00;0.00;0.00;25.67;247.75
2018;01;01;08;00;5.90;74.00;0.00;0.00;0.00;0.00;25.92;244.50
2018;01;01;09;00;5.93;75.00;0.00;0.00;0.00;0.00;24.49;245.70
2018;01;01;10;00;6.75;71.00;0.10;0.10;0.00;0.00;27.90;252.73
2018;01;01;11;00;7.21;67.00;0.00;0.00;0.00;0.00;28.24;252.95
2018;01;01;12;00;7.82;63.00;0.00;0.00;0.00;0.00;26.81;247.91
2018;01;01;13;00;9.48;56.00;0.00;0.00;0.00;0.00;25.99;233.45
2018;01;01;14;00;9.11;60.00;0.00;0.00;0.00;0.00;27.96;214.51
2018;01;01;15;00;8.30;62.00;0.00;0.00;0.00;0.00;29.76;212.15
2018;01;01;16;00;8.20;54.00;0.00;0.00;0.00;0.00;29.83;203.47
2018;01;01;17;00;8.08;49.00;0.00;0.00;0.00;0.00;33.95;214.20
2018;01;01;18;00;6.53;65.00;0.30;0.30;0.00;0.00;45.69;220.85
2018;01;01;19;00;6.27;66.00;0.10;0.30;0.00;0.00;50.93;226.72
2018;01;01;20;00;6.18;67.00;0.00;0.10;0.00;0.00;45.09;227.26
2018;01;01;21;00;6.45;70.00;0.00;0.10;0.00;0.00;40.30;228.62
2018;01;01;22;00;6.14;75.00;0.20;0.10;0.00;0.00;44.12;248.46
2018;01;01;23;00;5.18;82.00;0.60;0.40;0.00;0.00;43.06;264.24
2018;01;02;00;00;5.50;80.00;0.30;1.20;0.00;0.00;46.19;265.98
2018;01;02;01;00;4.93;81.00;0.00;1.10;0.00;0.00;43.92;269.53
2018;01;02;02;00;4.51;82.00;0.00;0.50;0.00;0.00;33.12;269.38
2018;01;02;03;00;4.48;82.00;0.00;0.20;0.00;0.00;33.20;260.64
2018;01;02;04;00;4.38;85.00;0.00;0.10;0.00;0.00;29.88;270.00
2018;01;02;05;00;4.23;86.00;0.00;0.20;0.00;0.00;28.09;271.47
2018;01;02;06;00;4.09;86.00;0.00;0.40;0.00;0.00;25.94;267.61
2018;01;02;07;00;3.95;85.00;0.00;0.30;0.00;0.00;26.68;266.91
2018;01;02;08;00;3.70;85.00;0.00;0.10;0.00;0.00;25.96;266.82
2018;01;02;09;00;3.83;84.00;0.00;0.20;0.00;0.00;27.04;266.95
2018;01;02;10;00;4.40;82.00;0.00;0.10;0.00;0.00;29.89;268.62
2018;01;02;11;00;4.95;79.00;0.00;0.00;0.00;0.00;31.85;275.84
2018;01;02;12;00;5.46;76.00;0.00;0.00;0.00;0.00;30.55;278.13
2018;01;02;13;00;7.00;71.00;0.00;0.00;0.00;0.00;24.97;275.79
2018;01;02;14;00;7.23;70.00;0.00;0.00;0.00;0.00;21.25;268.06
2018;01;02;15;00;7.69;68.00;0.00;0.00;0.00;0.00;19.49;258.27
2018;01;02;16;00;7.86;64.00;0.00;0.00;0.00;0.00;17.76;252.30
2018;01;02;17;00;7.09;67.00;0.00;0.00;0.00;0.00;17.78;238.24
2018;01;02;18;00;6.77;64.00;0.00;0.00;0.00;0.00;16.79;239.04
2018;01;02;19;00;6.75;59.00;0.00;0.00;0.00;0.00;14.77;226.97
2018;01;02;20;00;6.85;66.00;0.00;0.00;0.00;0.00;17.79;215.94
2018;01;02;21;00;5.02;74.00;0.40;0.10;0.00;0.00;30.15;213.31
2018;01;02;22;00;4.66;72.00;1.40;0.90;0.00;0.00;23.09;210.96
2018;01;02;23;00;5.40;75.00;0.50;0.20;0.00;0.00;12.98;223.88
2018;01;03;00;00;6.99;78.00;0.00;0.00;0.00;0.00;4.33;228.37
2018;01;03;01;00;8.77;78.00;0.00;0.00;0.00;0.00;4.51;241.39
2018;01;03;02;00;9.56;78.00;0.00;0.00;0.00;0.00;16.18;237.72
2018;01;03;03;00;9.80;76.00;0.00;0.00;0.00;0.00;24.99;228.50
2018;01;03;04;00;9.99;76.00;0.00;0.00;0.00;0.00;26.98;225.00
2018;01;03;05;00;10.99;74.00;0.00;0.00;0.00;0.00;29.53;225.99
2018;01;03;06;00;11.37;72.00;0.00;0.10;0.00;0.00;37.02;229.34
2018;01;03;07;00;12.05;72.00;0.00;0.10;0.00;0.00;46.25;238.04
2018;01;03;08;00;12.45;72.00;0.00;0.10;0.00;0.00;53.46;244.47
